iter	Logloss
0	0.487016902
1	0.3622300172
2	0.2641841332
3	0.2124977593
4	0.1807616018
5	0.1539742166
6	0.1375490343
7	0.1253193111
8	0.1172526134
9	0.1121255064
10	0.1086786129
11	0.1052191999
12	0.1023333189
13	0.1000587744
14	0.09866258368
15	0.09730624431
16	0.09573872884
17	0.09411598009
18	0.09329751496
19	0.09238431145
20	0.09146753755
21	0.09042656957
22	0.08980877713
23	0.08909201418
24	0.0885034389
25	0.08751658076
26	0.08706675042
27	0.08664874578
28	0.08611615787
29	0.08536645348
30	0.08472920089
31	0.08419324266
32	0.08368561668
33	0.08337165344
34	0.08272015008
35	0.08236512739
36	0.08193231026
37	0.08168670762
38	0.08108314287
39	0.0805148357
40	0.08004312905
41	0.07967030828
42	0.07916837645
43	0.07888317637
44	0.07871523735
45	0.07832218695
46	0.07785325813
47	0.07759191962
48	0.07721278912
49	0.07688258215
50	0.07654075603
51	0.07621341153
52	0.07596653156
53	0.07547003226
54	0.07513590864
55	0.07433498765
56	0.07382613051
57	0.07367092639
58	0.0732316764
59	0.07297237702
60	0.07266299988
61	0.07227121143
62	0.07173174436
63	0.07109533051
64	0.07080563667
65	0.07060459462
66	0.07019241495
67	0.06985220474
68	0.06954628256
69	0.06902666808
70	0.06875125579
71	0.06839678712
72	0.06821592084
73	0.06771644365
74	0.06722733136
75	0.06699854187
76	0.06649568666
77	0.06623953446
78	0.06585251678
79	0.0657271377
80	0.0654255477
81	0.06518096077
82	0.0649339269
83	0.06453512849
84	0.06425242922
85	0.06387843884
86	0.06364813346
87	0.06325420585
88	0.06282760612
89	0.06256116597
90	0.06190108291
91	0.06164645043
92	0.06139266437
93	0.06079740231
94	0.06058603384
95	0.06036073009
96	0.06025988203
97	0.0601263734
98	0.05973967506
99	0.05951081246
100	0.05916599306
101	0.05880144036
102	0.05861474526
103	0.05844052729
104	0.05822922807
105	0.0579526731
106	0.057550589
107	0.05717862235
108	0.05710103568
109	0.05694697809
110	0.05667726764
111	0.05652998531
112	0.05628241281
113	0.0560301003
114	0.05581022908
115	0.0555489329
116	0.05541510878
117	0.05520603336
118	0.05500628788
119	0.05480827374
120	0.05461006722
121	0.0543771764
122	0.05417546105
123	0.0538163101
124	0.05348574917
125	0.05313189223
126	0.05297194427
127	0.05253820761
128	0.05220611157
129	0.05190651452
130	0.05167344286
131	0.05151939296
132	0.05136835942
133	0.05122718676
134	0.0508364525
135	0.05053280029
136	0.05018780007
137	0.05009695141
138	0.04985792782
139	0.04975490984
140	0.04947898199
141	0.04933887507
142	0.04902218786
143	0.04874635236
144	0.04838966373
145	0.0481118776
146	0.04786660583
147	0.04760470176
148	0.04755183464
149	0.04743503911
150	0.04706780476
151	0.04691441661
152	0.04669333346
153	0.04647395855
154	0.04614816455
155	0.04609688255
156	0.04579668146
157	0.04565102658
158	0.04530901579
159	0.04512927295
160	0.04483076856
161	0.04473941589
162	0.04460414515
163	0.04443180856
164	0.04413165748
165	0.04383443812
166	0.04350821706
167	0.04337982932
168	0.04309292099
169	0.04284207435
170	0.0425950905
171	0.04228437061
172	0.04214071254
173	0.04182284803
174	0.04171404355
175	0.04161800475
176	0.04146385481
177	0.04126666786
178	0.04115629364
179	0.04090231137
180	0.04069060048
181	0.04047327239
182	0.04014858259
183	0.0400513434
184	0.03970581609
185	0.03958196828
186	0.03940387982
187	0.03921895453
188	0.03914356857
189	0.03909873481
190	0.03891180503
191	0.03878188602
192	0.03855955246
193	0.03830423899
194	0.03814325607
195	0.0379662949
196	0.03779997179
197	0.03757045513
198	0.03738671484
199	0.03719481037
